n,un,Bn0,Bn1,Bn2,Bn3,Bn4
1,0.000220000000000,11.95374669635240,6480.9861772761,4.86870745558490E-07,6.68465466836958E-08,-3.24151275326646E-10
2,0.000100873145711,31.94003115817780,8435.7673574330,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
3,0.000100833344793,-19.25944262464340,8431.1649575502,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
4,0.000090000000000,8.72590266704956,7737.5900877043,-4.84089224025853E-06,6.80793309120211E-08,-4.33030731830226E-10
5,0.000060000000000,15.20955718316660,23347.9184922593,-1.27525460007408E-04,5.61561141270218E-08,-3.83007656213344E-10
6,0.000060000000000,12.85400263277980,15019.2270676358,-2.79817867769734E-04,-1.94562760027632E-07,8.52976342407306E-10
7,0.000050000000000,9.59819214596561,-1847.7052473473,-1.51805537016767E-04,-1.83872327470958E-07,9.11832723294004E-10
8,0.000050000000000,7.16817813524023,16133.8556269009,9.09501238787510E-05,2.44757265762155E-07,-1.21097246081220E-09
9,0.000050000000000,1.58477955555058,9061.7681127057,-6.66700468693921E-05,-4.72882416417430E-09,-8.38679186951386E-11
10,0.000040000000000,3.94033410593738,17390.4595373291,8.56223608929340E-05,2.45990049990480E-07,-1.31985191731578E-09
11,0.000040000000000,4.81262358485343,7805.1642022775,-6.13422838835750E-05,-5.96160839249963E-09,2.50115378084409E-11
12,0.000040000000000,-0.77077499483622,733.0766880822,-2.18962454631718E-04,-2.55447698318829E-07,1.15211607992551E-09
13,0.000040000000000,2.45706903446663,-523.5272223459,-2.13634691645901E-04,-2.56680482547154E-07,1.26099553642909E-09
14,0.000020000000000,11.99687238420890,5852.6842220621,3.15075223846700E-06,6.62301545695331E-08,-2.69711547074857E-10
15,0.000011146003069,-16.90392728504710,16759.8563821736,2.40578650148168E-04,4.96092532030972E-07,-2.50139618768465E-09
16,0.000010800050287,34.29561911158150,16764.4587820564,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
17,0.000011246653573,-22.21527276265620,8433.7947898664,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
18,0.000011246653573,28.61267590306020,8433.1375251168,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
19,0.000010000000000,14.30930124673920,14809.6776018995,1.52779278507884E-04,3.17565420838350E-07,-1.56013527394729E-09
20,0.000003490240921,-12.11831707812830,7106.9869325488,1.50115397014976E-04,3.18181812952513E-07,-1.61457500219908E-09
21,0.000003483326044,39.08115131143840,7111.5893324316,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
22,0.000003236294812,42.03450959584600,105.1270488262,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
23,0.000003235756682,-40.34818302002150,104.4224169101,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
24,0.000002969001885,-35.65220464153170,16761.8052661569,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
25,0.000002968270651,46.76065619304880,16762.5098980731,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
26,0.000002807211646,16.15897270862490,8446.0853959096,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
27,0.000002778664440,47.38474877211430,8433.8184734497,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
28,0.000002778406486,-34.70413349822770,8433.1138415335,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
29,0.000002252042523,-11.21803062762140,15645.2278229085,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
30,0.000002183360896,39.98136928214340,15649.8302227913,-4.34774157024969E-04,-4.44665242068124E-07,2.03452061277616E-09
31,0.000001945055159,-8.86250908750932,23973.9192475319,2.21030662620089E-05,3.07491380395839E-07,-1.67343138308578E-09
32,0.000001928496846,42.33696286187540,23978.5216474148,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
33,0.000001843009799,9.03530625564342,8398.9733845696,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
