n,un,Bn0,Bn1,Bn2,Bn3,Bn4
1,18461.240380000900000,1.62790524340711,8433.4661574916,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
2,-6.296477618613900,4.88371573022133,25300.3984724748,-1.92018496129450E-04,-1.60356488350109E-08,-8.82845713300465E-11
3,0.005919746355178,8.13952621703555,42167.3307874580,-3.20030826882418E-04,-2.67260813916848E-08,-1.47140952216744E-10
4,-0.002359903721200,-5.78397166664875,-33838.6393628345,4.72323234644744E-04,2.77444955546339E-07,-1.08884304640390E-09
5,2.798641451827310,-2.52816117983453,-16971.7070478513,3.44310903891777E-04,2.66754522989665E-07,-1.14769942729060E-09
6,999.693663154816000,0.72764930697969,-104.7747328682,2.16298573138809E-04,2.56064090432991E-07,-1.20655580817730E-09
7,1010.167156115390000,3.98345979379391,16762.1575821150,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
8,-1.019385244775290,7.23927028060813,33629.0898970982,-3.97260883671246E-05,2.34683225319643E-07,-1.32426856995069E-09
9,0.001559936815203,10.49508076742230,50496.0222120814,-1.67738419120091E-04,2.23992792762969E-07,-1.38312495083739E-09
10,-0.000439982382356,-3.42841711626195,-25509.9479382111,6.24615642407070E-04,5.28163829700994E-07,-2.32482704502455E-09
11,-0.130347015069357,-0.17260662944773,-8643.0156232279,4.96603311654103E-04,5.17473397144320E-07,-2.38368342591125E-09
12,31.759670828363200,3.08320385736649,8223.9166917553,3.68590980901135E-04,5.06782964587646E-07,-2.44253980679795E-09
13,61.911950259640300,6.33901434418071,25090.8490067385,2.40578650148168E-04,4.96092532030972E-07,-2.50139618768465E-09
14,-0.117867320600329,9.59482483099494,41957.7813217217,1.12566319395201E-04,4.85402099474298E-07,-2.56025256857134E-09
15,0.000259989256529,12.85063531780910,58824.7136367049,-1.54460113577656E-05,4.74711666917624E-07,-2.61910894945804E-09
16,0.000030000000000,-1.07286256587515,-17181.2565135876,7.76908050169396E-04,7.78882703855649E-07,-3.56081104364520E-09
