n,un,Bn0,Bn1,Bn2,Bn3,Bn4
1,0.074300000000000,11.95374669635240,6480.9861772761,4.86870745558490E-07,6.68465466836958E-08,-3.24151275326646E-10
2,0.030430000000000,8.72590266704956,7737.5900877043,-4.84089224025853E-06,6.80793309120211E-08,-4.33030731830226E-10
3,0.022290000000000,12.85400263277980,15019.2270676358,-2.79817867769734E-04,-1.94562760027632E-07,8.52976342407306E-10
4,0.019990000000000,15.20955718316660,23347.9184922593,-1.27525460007408E-04,5.61561141270218E-08,-3.83007656213344E-10
5,0.018690000000000,9.59819214596561,-1847.7052473473,-1.51805537016767E-04,-1.83872327470958E-07,9.11832723294004E-10
6,0.016960000000000,7.16817813524023,16133.8556269009,9.09501238787510E-05,2.44757265762155E-07,-1.21097246081220E-09
7,0.016230000000000,1.58477955555058,9061.7681127057,-6.66700468693921E-05,-4.72882416417430E-09,-8.38679186951386E-11
8,0.013037558548714,7.20398250628587,8399.6847300364,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
9,0.010883081458489,30.38931859326640,8435.7673574330,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
10,0.010878769050656,-23.99191546410470,8431.1649575502,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
11,0.014190000000000,-0.77077499483622,733.0766880822,-2.18962454631718E-04,-2.55447698318829E-07,1.15211607992551E-09
12,0.013380000000000,3.94033410593738,17390.4595373291,8.56223608929340E-05,2.45990049990480E-07,-1.31985191731578E-09
13,0.012790000000000,2.45706903446663,-523.5272223459,-2.13634691645901E-04,-2.56680482547154E-07,1.26099553642909E-09
14,0.012150000000000,4.81262358485343,7805.1642022775,-6.13422838835750E-05,-5.96160839249963E-09,2.50115378084409E-11
15,0.005460000000000,11.99687238420890,5852.6842220621,3.15075223846700E-06,6.62301545695331E-08,-2.69711547074857E-10
16,0.004430000000000,14.30930124673920,14809.6776018995,1.52779278507884E-04,3.17565420838350E-07,-1.56013527394729E-09
17,0.003420000000000,3.81034409083088,8399.7091103675,-3.31895204255009E-05,3.11024944910606E-08,-2.03282376489228E-10
18,0.003300000000000,9.62615860347698,16275.8309780640,-2.85145630755551E-04,-1.93329975799307E-07,7.44096885903726E-10
19,0.003180000000000,11.98171315386370,24604.5224026874,-1.32853222993225E-04,5.73888983553472E-08,-4.91887112716924E-10
20,0.002956611280138,15.03543192627950,7109.2881324902,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
21,0.002850000000000,17.56511173355340,31676.6099168827,2.47669477549174E-05,3.06874988281676E-07,-1.61899165483399E-09
22,0.002070000000000,11.08145721743630,16066.2815123277,1.47451515522067E-04,3.18798205066675E-07,-1.66901473045087E-09
23,0.002020000000000,9.92483900829697,16833.1452576965,-9.97616349313089E-05,2.63300370955864E-08,-2.87877515706031E-10
24,0.002020000000000,6.66902852148275,-33.7870572866,2.82506958216582E-05,3.70204696522603E-08,-2.29021134819333E-10
25,0.002000000000000,9.52373268562704,24462.5470515244,2.43242531641077E-04,4.95476139916809E-07,-2.44695645943286E-09
26,0.001980000000000,6.37034811666276,-591.1013369192,-1.57133300002584E-04,-1.82639543242633E-07,8.02953266790424E-10
27,0.001930000000000,15.25268287102310,22719.6165370452,-1.24861578514500E-04,5.55397220128592E-08,-3.28567927961554E-10
28,0.001640000000000,7.24263759557881,-10176.3966719707,-3.04097944779093E-04,-4.34591201625613E-07,2.14781672191465E-09
29,0.001610000000000,6.29588865632418,25719.1509619525,2.37914768655260E-04,4.96708924145135E-07,-2.55583591593644E-09
30,0.001206089095215,-21.63651358172710,16759.8563821736,2.40578650148168E-04,4.96092532030972E-07,-2.50139618768465E-09
31,0.001580000000000,12.89712832063630,14390.9251124218,-2.77153986276826E-04,-1.95179152141795E-07,9.07416070659096E-10
32,0.001168608317102,32.74503173710650,16764.4587820564,-6.40061653764836E-05,-5.34521627833696E-09,-2.94281904433488E-11
33,0.001490000000000,19.99512574427880,13695.0490426344,-2.17988713140601E-04,-1.21754604951437E-07,5.03813529272218E-10
34,0.001350000000000,9.64131783382214,-2476.0072025614,-1.49141655523859E-04,-1.84488719585121E-07,9.66272451545793E-10
35,0.001040000000000,22.35068029466560,22023.7404672579,-6.56963053782751E-05,1.28964269203217E-07,-7.32170469348432E-10
36,0.000746804070016,-20.65430855569390,8433.7947898664,8.82862423858425E-05,2.45373657876317E-07,-1.26541218906399E-09
37,0.000746766552497,27.05171165336210,8433.1375251168,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
38,0.000729735697506,7.98775548014448,70.9933054130,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
39,0.000850000000000,23.25093623109300,30561.9813576176,-3.46001043893568E-04,-1.32445037508111E-07,4.44957148385520E-10
40,0.000689737373238,9.55676502906980,16728.3761546598,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
41,0.000790000000000,0.10151448407983,-8852.2186469694,-3.65927099408227E-04,-5.07399356701809E-07,2.49697953504974E-09
42,0.000760000000000,-3.12632954522302,-7595.6147365412,-3.71254862394044E-04,-5.06166572473483E-07,2.38810007854616E-09
43,0.000597442242305,14.44722156032600,8446.0853959096,-2.17701074735002E-06,6.74629387978584E-08,-3.78591003578436E-10
44,0.000680000000000,8.68277697919303,8365.8920429183,-7.50477373316704E-06,6.86957230261838E-08,-4.87470460082016E-10
45,0.000600000000000,14.33726770425050,32933.2138273109,1.94391847691004E-05,3.08107772510001E-07,-1.72787111133757E-09
46,0.000570000000000,9.58303291562045,16904.1329332780,-2.87809512248460E-04,-1.92713583685144E-07,6.89657157651936E-10
47,0.000570000000000,7.21130382309676,15505.5536716869,9.36140053716596E-05,2.44140873647992E-07,-1.15653273256042E-09
48,0.000540000000000,20.89538168070620,22233.2899329942,-4.98293451655894E-04,-3.83163911662766E-07,1.68094114700617E-09
49,0.000530000000000,12.02483884172030,23976.2204474733,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
50,0.000530000000000,6.32722242880623,37.2006182949,-1.59797181495493E-04,-1.82023151128470E-07,7.48513538538634E-10
51,0.000397766638125,9.34952309585254,7143.0695599454,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
52,0.000377628918551,-16.85094277330060,7106.9869325488,1.50115397014976E-04,3.18181812952513E-07,-1.61457500219908E-09
53,0.000377025817476,37.53059242268970,7111.5893324316,-1.54469418509676E-04,-1.83255935356796E-07,8.57392995042214E-10
54,0.000381634718182,11.64300053453870,8293.7465356141,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
55,0.000480000000000,-0.81390068269275,1361.3786432963,-2.21626336124626E-04,-2.54831306204666E-07,1.09767635167372E-09
56,0.000430000000000,16.76728171497590,14951.6529530626,-2.23316476126418E-04,-1.20521820723112E-07,3.94934072768638E-10
57,0.000400000000000,25.60649078147980,38890.6727822411,-1.93708636131242E-04,1.18273836646543E-07,-7.91026850235130E-10
58,0.000370000000000,9.66928429133351,15647.5290228499,-2.82481749262643E-04,-1.93946367913470E-07,7.98536614155516E-10
59,0.000350000000000,14.35242693459570,14181.3756466855,1.55443160000793E-04,3.16949028724187E-07,-1.50569554569550E-09
60,0.000243707888293,-15.95067835156960,15645.2278229085,-1.30189341500317E-04,5.67725062411845E-08,-4.37447384465134E-10
61,0.000320000000000,16.66485579712600,23138.3690265230,3.05071686270210E-04,5.68284294993005E-07,-2.79611927256794E-09
62,0.000236272855193,38.43084429207520,15649.8302227913,-4.34774157024969E-04,-4.44665242068124E-07,2.03452061277616E-09
63,0.000310000000000,19.92066628394020,40005.3013415062,1.77059355517243E-04,5.57593862436331E-07,-2.85497565345464E-09
64,0.000310000000000,2.50019472232316,-1151.8291775600,-2.10970810152992E-04,-2.57296874661317E-07,1.31543526468088E-09
65,0.000259421273484,15.23654278038740,8715.1534387173,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
66,0.000258884260913,43.09718886038580,105.1270488262,-2.16298573138809E-04,-2.56064090432991E-07,1.20655580817730E-09
