n,rn,dn0,dn1,dn2,dn3,dn4
10001,0.000010115173653,9.06168853315114,-8151.7788762659,9.49207426910504E-05,4.17492938164346E-08,-1.45153216124195E-10
10002,0.000007580298597,-60.71608371593400,11819.8326216113,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
10003,0.000007487600891,16.60121386032360,15754.6306788265,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
10004,0.000010060168712,11.33622922722810,7087.0325876705,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
10005,0.000010037132480,-67.51289318270460,2234.5260268968,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
10006,0.000007615635085,5.24185613137334,9009.2567614133,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
10007,0.000007440229309,7.82757249351604,8915.0505391802,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
10008,0.000010464512136,-20.74858050216270,7846.6282060616,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
10009,0.000009230533630,12.36911005315600,9034.2845510945,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
10010,0.000010474914648,14.76624357359860,39349.7656547731,3.90694047163144E-04,8.14274344983485E-07,-4.11597118988373E-09
10011,0.000007948914009,11.19046893186330,15629.4953389092,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
10012,0.000007499080618,47.41502214922630,15609.2298984643,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
10013,0.000008473865960,13.68565944978930,25301.5429825512,4.56877223286978E-04,7.52156622463964E-07,-3.70795199586195E-09
10014,0.000007825426589,-6.23598123201921,24522.2952047830,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
10015,0.000008881307920,-39.48729833709660,7226.8647447135,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
10016,0.000007650129234,17.92499815728560,22852.3771292179,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
10017,0.000007747882578,43.21902972865150,14913.3508240687,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
10018,0.000007391368461,0.24417232046905,6364.2082038330,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
10019,0.000009241746467,-5.33085276793705,-8293.0362544823,-5.23060399410812E-04,-6.90038899944442E-07,3.29993280184016E-09
10020,0.000010445439801,2.94245584737882,127.0302776879,-3.70767991648486E-04,-4.39320025789787E-07,2.06394880321951E-09
10021,0.000007419360318,-27.43967128779170,15539.7721417075,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
10022,0.000010099328140,2.28375834687205,5964.0066508664,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
10023,0.000007537513859,-3.40035755689832,-3726.0746767163,3.09145773145667E-05,3.64040775380977E-08,-1.74581406567543E-10
10024,0.000009314521228,37.57511778207120,16504.5795271640,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
10025,0.000009214332334,-24.84877318715490,-240.2176476101,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
10026,0.000008537030547,21.61643215202080,11553.0412754956,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
10027,0.000007662489667,31.54211541075280,23880.0822129880,2.71493227462735E-04,5.32496609569070E-07,-2.67597759425219E-09
10028,0.000008667864722,20.26425245355830,5942.8539375681,-1.56646429257026E-04,-1.15792996558937E-07,4.78801991463777E-10
10029,0.000009059803761,39.29932558539170,22756.2648658076,-2.84658760009993E-04,-1.26483429115611E-07,4.19945610577079E-10
10030,0.000008611312377,2.64013197808069,22803.7164939935,5.51946543239257E-05,2.76432519136078E-07,-1.46942178607489E-09
10031,0.000009163152626,9.11475413290918,1259.2450024073,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
10032,0.000009724544942,29.09554501223490,14146.4537090061,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
10033,0.000010395936610,3.14071393451199,-10657.2753380239,-5.23060399410812E-04,-6.90038899944442E-07,3.29993280184016E-09
10034,0.000008333303814,16.62166583968680,8316.7464507183,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
10035,0.000010274837329,10.63472228847880,32231.3155427437,5.30176435765757E-05,3.43895457933937E-07,-1.84801278965332E-09
10036,0.000007925512310,10.74726899823000,-8553.9886338742,-9.04632531331926E-05,-1.77910719078459E-07,8.86821185485563E-10
