n,rn,dn0,dn1,dn2,dn3,dn4
1,0.001489999925242,12.01085561296460,14914.4523347677,-6.35192946309251E-05,6.15013304053588E-08,-3.53579465769995E-10
2,0.001109999944307,9.65530106257783,6585.7609101443,-2.15811702393251E-04,-1.89217543749295E-07,8.82404532850655E-10
3,0.000949999952335,3.96947656503822,7700.3894694094,1.54956289255234E-04,2.50102482040492E-07,-1.18154427036886E-09
4,0.000769999961366,7.02481784291496,8956.9933798375,1.49628526269417E-04,2.51335266268817E-07,-1.29042372687244E-09
5,0.000359999981938,4.66926329252815,628.3019552141,-2.66388149290851E-06,6.16392114162664E-10,-5.44397282517898E-11
6,0.000229999988460,15.06619689084130,16171.0562451958,-6.88470576167421E-05,6.27341146336841E-08,-4.62458922273575E-10
7,0.000179999990969,12.71064234045450,7842.3648205724,-2.21139465379068E-04,-1.87984759520970E-07,7.73525076347075E-10
8,0.000116501118584,-20.10266731429790,8326.3902246820,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
9,0.000109258919118,31.09695243135390,8330.9926245649,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
10,0.000139999992976,12.05398130082110,14286.1503795536,-6.08554131380166E-05,6.08849382911961E-08,-2.99139737518205E-10
11,0.000119999993979,6.72613743809497,8399.6791002050,-3.57554695548253E-05,3.16752533739234E-08,-2.58449325262682E-10
12,0.000089999995484,14.36641016335140,23243.1437593911,8.87731131314010E-05,3.12220204560013E-07,-1.58956346439064E-09
13,0.000064565025801,-32.55981061908180,8328.3391086654,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
14,0.000064553282116,43.55403770450100,8329.0437405815,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
15,0.000069999996488,9.69842675043436,5957.4589549302,-2.13147820900342E-04,-1.89833935863458E-07,9.36844261102444E-10
16,0.000069999996488,10.44133916578080,-1742.9305144792,-3.68104110155577E-04,-4.39936417903950E-07,2.11838853147130E-09
17,0.000049999997491,6.32503111542503,16029.0808940328,3.07248697017560E-04,5.00821356195146E-07,-2.41752826898951E-09
18,0.000032759435491,-12.06120984313750,15540.4530900403,8.61092316384925E-05,3.12836596674176E-07,-1.64400319264243E-09
19,0.000032589796570,39.13826120912000,15545.0554899232,-2.18475583886159E-04,-1.88601151635133E-07,8.27964804598865E-10
20,0.000039999997993,15.10932257869780,15542.7542899817,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
21,0.000039999997993,9.38037239330176,17285.6848044609,3.01920934031743E-04,5.02054140423472E-07,-2.52640772549309E-09
22,0.000029999998495,20.05223466089100,22128.5152001260,-2.81994878517084E-04,-1.27099821229774E-07,4.74385338828869E-10
23,0.000029999998495,12.66751665259800,8470.6667757865,-2.23803346871976E-04,-1.87368367406807E-07,7.19085348095285E-10
24,0.000029999998495,4.01260225289476,7072.0875141953,1.57620170748143E-04,2.49486089926329E-07,-1.12710454211707E-09
25,0.000021554665095,-14.41668512336080,7211.7616654169,-6.61831761238336E-05,6.21177225195215E-08,-4.08019194021785E-10
26,0.000020267971549,36.78262678390590,7216.3640652998,-3.70767991648486E-04,-4.39320025789787E-07,2.06394880321951E-09
27,0.000016991899229,10.49053015354030,8329.4027700903,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
28,0.000016980755896,0.50350339882465,8327.9800791566,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
