n,vn,an0,an1,an2,an3,an4
1,0.004870000000000,-0.04312568785653,628.3019552141,-2.66388149290851E-06,6.16392114162664E-10,-5.44397282517898E-11
2,0.002280006708900,-20.88734654722110,-2.3011999414,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
3,0.001500000000000,11.22609738937270,6585.7609101443,-2.15811702393251E-04,-1.89217543749295E-07,8.82404532850655E-10
4,0.001200000000000,13.58165193975950,14914.4523347677,-6.35192946309251E-05,6.15013304053588E-08,-3.53579465769995E-10
5,0.001080000000000,5.54027289183312,7700.3894694094,1.54956289255234E-04,2.50102482040492E-07,-1.18154427036886E-09
6,0.000800000000000,2.31242886253027,8956.9933798375,1.49628526269417E-04,2.51335266268817E-07,-1.29042372687244E-09
7,0.000254328335913,-23.84317902720650,0.3286323748,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
8,0.000210000000000,7.99825336006987,7842.3648205724,-2.21139465379068E-04,-1.87984759520970E-07,7.73525076347075E-10
9,0.000180000000000,10.35380791045660,16171.0562451958,-6.88470576167421E-05,6.27341146336841E-08,-4.62458922273575E-10
10,0.000126149586796,-18.53187096968070,8326.3902246820,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
11,0.000118345169686,32.66774827499110,8330.9926245649,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
12,0.000130000000000,8.29693376488986,8399.6791002050,-3.57554695548253E-05,3.16752533739234E-08,-2.58449325262682E-10
13,0.000120000000000,13.62477762761600,14286.1503795536,-6.08554131380166E-05,6.08849382911961E-08,-2.99139737518205E-10
14,0.000110000000000,15.93720649014630,23243.1437593911,8.87731131314010E-05,3.12220204560013E-07,-1.58956346439064E-09
15,0.000110000000000,11.26922307722920,5957.4589549302,-2.13147820900342E-04,-1.89833935863458E-07,9.36844261102444E-10
16,0.000110000000000,-0.08625137571306,1256.6039104281,-5.32776298581702E-06,1.23278422832532E-09,-1.08879456503579E-10
17,0.000099112194059,-0.00751833780101,-0.7113454669,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
18,0.000069919728962,-37.27223935169010,8328.3391086654,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
19,0.000069902033593,45.12485996738510,8329.0437405815,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
20,0.000053717692185,-36.72528960795590,-0.3523159581,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
21,0.000070000000000,7.89582744221992,16029.0808940328,3.07248697017560E-04,5.00821356195146E-07,-2.41752826898951E-09
22,0.000060000000000,8.87054283898592,-1742.9305144792,-3.68104110155577E-04,-4.39936417903950E-07,2.11838853147130E-09
23,0.000060000000000,4.66798341291707,17285.6848044609,3.01920934031743E-04,5.02054140423472E-07,-2.52640772549309E-09
24,0.000042960813801,-73.30459444684370,15.5420282884,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
25,0.000040760731318,3.60030520138801,2.6298323162,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
26,0.000035890118751,-20.63303641067190,-8.8601555405,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
